time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.024545,-0.2172,9.4835,0.06,0.23
0.039234,-0.414,9.76,-0.3861,0.62
0.055217,-0.4127,10.0389,-0.5705,0.89
0.067072,-0.4131,9.9129,-0.3769,0.7
0.069562,-0.2755,9.7654,-0.1635,0.42
0.07955,-0.1379,9.6732,-0.044,0.23
0.096888,-0.0477,9.6103,0.0716,0.14
0.099262,-0.0019,9.6119,0.1233,0.17
0.115071,0.0285,9.6242,0.1265,0.18
0.119258,0.1033,9.6489,0.0743,0.2
0.130953,0.1848,9.6988,-0.006,0.27
0.147484,0.1507,9.7931,-0.1266,0.35
0.149479,0.0942,9.8833,-0.2363,0.46
0.16527,0.1135,9.9348,-0.2592,0.52
0.169926,0.0538,9.9336,-0.2703,0.51
0.181342,0.0653,9.9098,-0.2514,0.49
0.19776,0.1339,9.8405,-0.1915,0.41
0.200016,-0.0899,9.7936,-0.0056,0.31
0.222167,-0.0319,9.7486,0.0717,0.26
0.222419,0.053,9.667,0.0089,0.18
0.236124,0.0831,9.612,-0.0338,0.14
0.238354,0.2512,9.5441,0.0631,0.26
0.251974,0.4657,9.5099,0.1042,0.48
0.26858,0.4194,9.543,0.0386,0.42
0.269082,0.0174,9.6342,-0.0541,0.15
0.287886,-0.2345,9.4715,-0.0084,0.24
0.301656,-0.1461,9.5317,0.0086,0.15
0.302114,-0.118,9.6263,-0.0706,0.19
0.318247,-0.158,9.7215,-0.2811,0.39
0.319342,-0.0802,9.8071,-0.3497,0.47
0.333845,-0.0609,9.8395,-0.3198,0.47
0.339009,0.0149,9.8184,-0.2188,0.39
0.349279,0.0738,9.7311,-0.0669,0.25
0.365059,0.1406,9.6233,0.0222,0.19
0.369546,0.17,9.5568,0.0404,0.18
0.380993,0.1731,9.5714,0.0402,0.19
0.389378,0.1939,9.6601,-0.0019,0.25
0.399255,0.1767,9.729800000000001,-0.0272,0.29
0.414979,0.1519,9.8099,-0.0411,0.35
0.419254,0.1347,9.8442,-0.0033,0.37
0.432187,0.105,9.8291,0.0109,0.35
0.449661,0.1037,9.782,0.0643,0.31
0.449843,0.0564,9.7187,0.0762,0.24
0.467096,0.0207,9.6744,0.0692,0.19
0.468795,-0.0042,9.616,0.076,0.14
0.482402,-0.1611,9.5306,0.2129,0.27
0.489462,0.165,9.3792,0.3394,0.4
0.499576,0.3233,9.4092,0.159,0.37
0.516874,0.0397,9.5583,-0.0398,0.08
0.518718,0.0162,9.7137,-0.0635,0.22
0.534128,-0.0006,9.7734,-0.0261,0.27
0.53924,0.0055,9.8712,-0.0366,0.37
0.551838,-0.0376,9.9326,-0.1204,0.45
0.566321,-0.1492,9.8963,-0.1368,0.45
0.568777,-0.1625,9.8585,-0.0711,0.4
0.5834,-0.1279,9.7626,-0.0296,0.29
0.588829,-0.1189,9.7075,-0.0391,0.24
0.599136,-0.129,9.7143,-0.041,0.25
0.617261,-0.1192,9.719,-0.0867,0.26
0.618654,-0.0924,9.7141,-0.0541,0.24
0.633775,-0.0897,9.7263,-0.0017,0.24
0.638596,-0.1113,9.7294,-0.0064,0.26
0.650005,-0.1435,9.7462,-0.0522,0.29
0.666711,-0.1372,9.7823,-0.0376,0.32
0.668614,-0.1523,9.8135,0.0012,0.35
0.683707,-0.1681,9.8088,0.065,0.36
0.688574,-0.2049,9.8352,0.0619,0.4
0.700377,-0.204,9.8427,0.111,0.41
0.708607,-0.1816,9.8363,0.124,0.4
0.718478,-0.1002,9.7991,0.1827,0.36
0.733968,-0.0091,9.7214,0.253,0.34
0.738444,0.0934,9.6578,0.353,0.4
0.750709,0.1657,9.5685,0.4085,0.45
0.758394,0.229,9.5339,0.3877,0.45
0.768645,0.2923,9.5158,0.3452,0.45
0.783317,0.2965,9.5541,0.2853,0.42
0.78847,0.2731,9.6071,0.255,0.39
0.803734,0.2488,9.6523,0.2129,0.36
0.808301,0.1803,9.7373,0.148,0.33
0.818709,0.1262,9.7811,0.1104,0.33
0.834303,0.1089,9.7949,0.051,0.32
0.838245,0.0294,9.7596,-0.0225,0.26
0.85229,-0.0451,9.7106,-0.0319,0.22
0.858813,-0.0562,9.6669,0.0306,0.18
0.868636,-0.0641,9.6286,0.0868,0.17
0.885591,-0.0873,9.6253,0.1596,0.22
0.894351,-0.1113,9.6158,0.1325,0.21
0.904626,-0.0638,9.6323,0.1177,0.19
0.908481,-0.0384,9.6798,0.1268,0.22
0.922226,-0.0225,9.7361,0.0732,0.25
0.937998,-0.0404,9.8143,-0.0034,0.32
0.938511,-0.0782,9.8614,-0.0568,0.37
0.953713,-0.0623,9.8917,-0.0654,0.4
0.95859,-0.1276,9.9083,-0.0106,0.43
0.973129,-0.1909,9.9033,0.0087,0.45
0.988555,-0.181,9.8623,0.0315,0.41
0.989054,-0.2084,9.8177,0.0894,0.39
1.006555,-0.2064,9.7583,0.1485,0.36
1.008643,-0.1945,9.6919,0.1745,0.32
1.019963,-0.1961,9.6732,0.1629,0.31
1.036823,-0.224,9.6632,0.1434,0.31
1.038202,-0.2225,9.6822,0.1457,0.32
1.053908,-0.1387,9.7329,0.1589,0.31
1.058741,-0.068,9.7037,0.1396,0.26
1.071769,-0.0077,9.6723,0.1296,0.22
1.078065,0.0119,9.6669,0.1034,0.2
1.088166,0.0259,9.6903,0.0568,0.2
1.10546,0.0276,9.7085,0.0146,0.21
1.108331,0.0398,9.7199,0.0393,0.23
1.126481,0.0789,9.7416,0.0123,0.25
1.128202,0.105,9.7743,0.0137,0.29
1.141481,0.1226,9.7932,-0.0045,0.32
1.161408,0.1627,9.8052,-0.0218,0.35
1.162085,0.1585,9.7865,-0.0011,0.33
1.17565,0.1857,9.7489,0.0539,0.32
1.177691,0.2184,9.7063,0.0709,0.31
1.187786,0.2402,9.6797,0.1082,0.32
1.204129,0.2565,9.632,0.1189,0.31
1.224252,0.2762,9.5976,0.1618,0.33
1.224454,0.2602,9.6066,0.1498,0.32
1.227789,0.2578,9.6236,0.1452,0.32
1.238642,0.248,9.6683,0.1209,0.32
1.254985,0.2512,9.711,0.1281,0.35
1.258022,0.2406,9.7496,0.1048,0.36
1.271649,0.1696,9.7581,0.0976,0.32
1.277868,0.119,9.7555,0.0763,0.29
1.291374,0.0709,9.7361,0.0429,0.25
1.305653,0.045,9.7326,0.0074,0.24
1.307939,0.0419,9.7183,0.0778,0.24
1.322724,0.0685,9.689,0.1015,0.23
1.327995,0.0631,9.6675,0.1351,0.22
1.339707,0.0509,9.6688,0.113,0.21
1.356097,0.0559,9.694,0.0716,0.21
1.357666,0.0295,9.701,0.0713,0.22
1.373647,0.0096,9.7161,0.0212,0.22
1.378076,0.0059,9.7392,-0.007,0.24
1.390613,0.0094,9.7703,0.0212,0.27
1.405834,0.0164,9.7787,0.0554,0.28
1.407621,0.0285,9.7782,0.0289,0.28
1.422939,0.0347,9.7539,0.0611,0.26
1.427898,0.0581,9.7278,0.0904,0.25
1.441638,0.0547,9.7107,0.109,0.24
1.457968,0.0728,9.6866,0.1023,0.22
1.458263,0.0857,9.6885,0.0934,0.23
1.474597,0.0681,9.6961,0.095,0.23
1.477395,0.0595,9.7079,0.1303,0.25
1.490623,0.0914,9.707699999999999,0.1841,0.29
1.497618,0.0849,9.6907,0.2341,0.31
1.507672,0.0665,9.6687,0.2668,0.32
1.524828,0.0028,9.7024,0.2112,0.29
1.527477,-0.0171,9.6989,0.1542,0.25
1.540605,-0.038,9.7369,0.0903,0.26
1.54749,-0.0252,9.7927,0.0455,0.3
1.558041,-0.0176,9.8225,0.009,0.32
1.575819,-0.0142,9.8416,-0.0048,0.34
1.577569,-0.0239,9.8408,-0.0056,0.34
1.591834,-0.0402,9.8181,-0.0188,0.32
1.597537,-0.0532,9.7694,-0.0531,0.28
1.608728,-0.0593,9.7477,-0.0636,0.26
1.62576,-0.0345,9.7272,-0.0437,0.23
1.627234,-0.0028,9.7438,-0.0278,0.25
1.642715,0.0216,9.7247,-0.0275,0.23
1.647478,0.0191,9.7111,0.0477,0.22
1.658412,0.0087,9.7085,0.0681,0.22
1.675162,-0.0171,9.697,0.0922,0.22
1.677254,-0.0013,9.6974,0.1017,0.22
1.692774,0.0254,9.7145,0.0546,0.22
1.697682,0.0161,9.7387,0.0589,0.25
1.708727,-0.0069,9.7747,0.0753,0.28
1.725243,-0.025,9.7819,0.0887,0.3
1.727106,-0.041,9.767900000000001,0.1074,0.29
1.742859,-0.0066,9.7268,0.1175,0.26
1.747123,-0.0163,9.7198,0.0893,0.24
1.759448,-0.0179,9.7074,0.0512,0.21
1.777073,-0.0057,9.676,0.0264,0.18
1.777566,0.0132,9.6797,0.0213,0.18
1.795128,0.0136,9.7133,0.0227,0.21
1.796986,0.0172,9.7201,0.031,0.22
1.811759,0.006,9.7389,0.0374,0.24
1.817837,0.0153,9.7365,0.058,0.24
1.83063,0.0226,9.7532,0.0581,0.26
1.842437,0.0209,9.7647,0.0727,0.28
1.847239,0.0092,9.7521,0.0404,0.26
1.860671,-0.0092,9.7342,0.0416,0.24
1.867625,-0.049,9.7314,0.0063,0.24
1.877153,-0.0381,9.7565,-0.0321,0.26
1.893614,-0.0401,9.7748,-0.0278,0.28
1.899911,-0.0482,9.7912,0.015,0.3
1.908653,-0.0167,9.743,0.0882,0.26
1.917068,0.0258,9.6851,0.1841,0.26
1.927121,0.0299,9.6731,0.2013,0.27
1.941972,0.0177,9.6713,0.1683,0.24
1.947069,-0.0051,9.6772,0.1073,0.21
1.962968,-0.01,9.7171,0.0223,0.22
1.967316,-0.0334,9.7637,-0.0556,0.27
1.981021,-0.0111,9.7951,-0.0987,0.31
2.001585,0.0027,9.8276,-0.1374,0.36
2.002204,0.0141,9.8592,-0.1582,0.39
2.018975,0.0356,9.83,-0.1654,0.37
2.019259,0.0349,9.7833,-0.1535,0.32
2.035309,0.0172,9.7547,-0.117,0.28
2.037094,-0.0157,9.7223,-0.0836,0.24
2.05101,-0.0155,9.6981,-0.0105,0.2
2.066266,-0.0349,9.662,0.0174,0.17
